Wavelength (nm),Attenuation (dB/km)
,
270,1481
280,609
290,644
300,850
310,1136
320,1357
330,1439
340,1334
350,1100
360,807
370,552
380,384
390,280
400,203
410,149
420,114
430,86
440,73
450,61
460,50
470,43
480,37
490,34
500,31
510,29
520,26
530,24
540,22
550,19
560,18
562,17
570,16
580,14
582,13.5
590,13
600,12
602,12
610,12
620,11.5
622,11
630,11
640,10.5
642,10
650,10
660,9.5
662,9
670,9
680,8.5
682,8
690,8
700,8
702,8
710,7.5
720,7
722,7
730,7
740,7
742,7
750,6.75
760,6.5
762,6.2
770,6
780,6
782,6
790,6
800,6
802,6
810,6
820,6
822,6
830,6
840,6
842,6
850,6
860,6
862,6
870,6
880,6
882,6
890,6
900,6
902,6
910,6
920,6
922,6
930,6
940,6.5
942,7
950,7
960,6.5
962,6.25
970,6
980,6
982,6
990,6
1000,6
1002,6
1010,6
1020,6
1022,6
1030,6
1040,5.5
1042,5.75
1050,5
1060,5
1062,5
1070,5
1080,5
1090,5
1092,5
1100,5
1110,5.5
1112,6
1120,6
1130,6
1132,6
1140,6
1150,6
1152,6
1160,6
1170,6
1172,6
1180,6
1190,6
1192,6
1200,6
1210,6
1212,6
1220,6
1230,6
1232,6
1240,6
1250,6
1252,6
1260,6
1270,6
1272,6
1280,6
1292,6
1300,6
1312,7
1320,7
1332,8
1340,9
1352,15
1360,20
1372,24
1380,21
1392,15
1400,13
1412,11
1420,11
1432,10
1440,10
1452,9
1460,9
1472,9
1480,9
1492,9
1500,9
1512,9
1520,9
1532,9
1540,9
1552,9
1560,9
1572,9
1580,9
1592,9
1600,9
1612,9
1620,9
1632,9
1640,9
1652,9
1660,9
1672,9
1680,9
1692,9
1700,9
1712,10
1720,9
1732,10
1740,10
1752,10
1760,10
1772,10
1780,11
1792,11
1800,11
1812,11
1820,12
1832,12
1840,13
1850,13
1860,14
1870,14
1880,15
1890,16
1900,17
1910,18
1920,20
1930,21
1940,24
1950,26
1960,28
1970,30
1980,33
1990,38
2000,41
2010,46
2020,51
2030,55
2040,59
2050,65
2060,70
2070,76
2080,83
2090,90
2100,97
2110,105
2120,115
2130,125
2140,137
2150,150
